This file contains, for each analysis code and lint name:
* "has fix(es)", if the code has fix(es)
* "needs evaluation", if the code has not been evaluated in terms of fixes
* "needs fix", if the code needs a fix, with a possible issue link
* "fixes infeasible", if it has been deemed infeasible to write a fix for this code

Stats:
* 793 "needs evaluation"
CompileTimeErrorCode.INSTANCE_MEMBER_ACCESS_FROM_FACTORY: needs evaluation
CompileTimeErrorCode.INSTANCE_MEMBER_ACCESS_FROM_STATIC: needs evaluation
CompileTimeErrorCode.INSTANTIATE_ABSTRACT_CLASS: needs evaluation
CompileTimeErrorCode.INSTANTIATE_ENUM: needs evaluation
CompileTimeErrorCode.INSTANTIATE_TYPE_ALIAS_EXPANDS_TO_TYPE_PARAMETER: needs evaluation
CompileTimeErrorCode.INTEGER_LITERAL_IMPRECISE_AS_DOUBLE: has fix(es)
CompileTimeErrorCode.INTEGER_LITERAL_OUT_OF_RANGE: needs evaluation
CompileTimeErrorCode.INVALID_ANNOTATION: has fix(es)
CompileTimeErrorCode.INVALID_ANNOTATION_CONSTANT_VALUE_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.INVALID_ANNOTATION_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.INVALID_ASSIGNMENT: has fix(es)
CompileTimeErrorCode.INVALID_CAST_FUNCTION: needs evaluation
CompileTimeErrorCode.INVALID_CAST_FUNCTION_EXPR: needs evaluation
CompileTimeErrorCode.INVALID_CAST_LITERAL: needs evaluation
CompileTimeErrorCode.INVALID_CAST_LITERAL_LIST: needs evaluation
CompileTimeErrorCode.INVALID_CAST_LITERAL_MAP: needs evaluation
CompileTimeErrorCode.INVALID_CAST_LITERAL_SET: needs evaluation
CompileTimeErrorCode.INVALID_CAST_METHOD: needs evaluation
CompileTimeErrorCode.INVALID_CAST_NEW_EXPR: needs evaluation
CompileTimeErrorCode.INVALID_CONSTANT: needs evaluation
CompileTimeErrorCode.INVALID_EXTENSION_ARGUMENT_COUNT: needs evaluation
CompileTimeErrorCode.INVALID_FACTORY_NAME_NOT_A_CLASS: needs evaluation
CompileTimeErrorCode.INVALID_IMPLEMENTATION_OVERRIDE: needs evaluation
CompileTimeErrorCode.INVALID_INLINE_FUNCTION_TYPE: needs evaluation
CompileTimeErrorCode.INVALID_MODIFIER_ON_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.INVALID_MODIFIER_ON_SETTER: needs evaluation
CompileTimeErrorCode.INVALID_OVERRIDE: has fix(es)
CompileTimeErrorCode.INVALID_REFERENCE_TO_THIS: needs evaluation
CompileTimeErrorCode.INVALID_SUPER_FORMAL_PARAMETER_LOCATION: needs fix; new in 2.17
CompileTimeErrorCode.INVALID_TYPE_ARGUMENT_IN_CONST_LIST: needs evaluation
CompileTimeErrorCode.INVALID_TYPE_ARGUMENT_IN_CONST_MAP: needs evaluation
CompileTimeErrorCode.INVALID_TYPE_ARGUMENT_IN_CONST_SET: needs evaluation
CompileTimeErrorCode.INVALID_URI: needs evaluation
CompileTimeErrorCode.INVALID_USE_OF_COVARIANT: needs evaluation
CompileTimeErrorCode.INVALID_USE_OF_NULL_VALUE: needs evaluation
CompileTimeErrorCode.INVOCATION_OF_EXTENSION_WITHOUT_CALL: needs evaluation
CompileTimeErrorCode.INVOCATION_OF_NON_FUNCTION: needs evaluation
CompileTimeErrorCode.INVOCATION_OF_NON_FUNCTION_EXPRESSION: has fix(es)
CompileTimeErrorCode.LABEL_IN_OUTER_SCOPE: needs evaluation
CompileTimeErrorCode.LABEL_UNDEFINED: needs evaluation
CompileTimeErrorCode.LATE_FINAL_FIELD_WITH_CONST_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.LATE_FINAL_LOCAL_ALREADY_ASSIGNED: needs evaluation
CompileTimeErrorCode.LIST_ELEMENT_TYPE_NOT_ASSIGNABLE: needs evaluation
CompileTimeErrorCode.MAIN_FIRST_POSITIONAL_PARAMETER_TYPE: needs evaluation
CompileTimeErrorCode.MAIN_HAS_REQUIRED_NAMED_PARAMETERS: needs evaluation
CompileTimeErrorCode.MAIN_HAS_TOO_MANY_REQUIRED_POSITIONAL_PARAMETERS: needs evaluation
CompileTimeErrorCode.MAIN_IS_NOT_FUNCTION: needs evaluation
CompileTimeErrorCode.MAP_ENTRY_NOT_IN_MAP: needs evaluation
CompileTimeErrorCode.MAP_KEY_TYPE_NOT_ASSIGNABLE: needs evaluation
CompileTimeErrorCode.MAP_VALUE_TYPE_NOT_ASSIGNABLE: needs evaluation
CompileTimeErrorCode.MISSING_CONST_IN_LIST_LITERAL: needs evaluation
CompileTimeErrorCode.MISSING_CONST_IN_MAP_LITERAL: needs evaluation
CompileTimeErrorCode.MISSING_CONST_IN_SET_LITERAL: needs evaluation
CompileTimeErrorCode.MISSING_DART_LIBRARY: needs evaluation
CompileTimeErrorCode.MISSING_DEFAULT_VALUE_FOR_PARAMETER: has fix(es)
CompileTimeErrorCode.MISSING_DEFAULT_VALUE_FOR_PARAMETER_WITH_ANNOTATION: has fix(es)
CompileTimeErrorCode.MISSING_REQUIRED_ARGUMENT: has fix(es)
CompileTimeErrorCode.MIXIN_APPLICATION_CONCRETE_SUPER_INVOKED_MEMBER_TYPE: needs evaluation
CompileTimeErrorCode.MIXIN_APPLICATION_NO_CONCRETE_SUPER_INVOKED_MEMBER: needs evaluation
CompileTimeErrorCode.MIXIN_APPLICATION_NOT_IMPLEMENTED_INTERFACE: has fix(es)
CompileTimeErrorCode.MIXIN_CLASS_DECLARES_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.MIXIN_DEFERRED_CLASS: needs evaluation
CompileTimeErrorCode.MIXIN_INHERITS_FROM_NOT_OBJECT: needs evaluation
CompileTimeErrorCode.MIXIN_INSTANTIATE: needs evaluation
CompileTimeErrorCode.MIXIN_OF_DISALLOWED_CLASS: needs evaluation
CompileTimeErrorCode.MIXIN_OF_NON_CLASS: has fix(es)
CompileTimeErrorCode.MIXIN_OF_TYPE_ALIAS_EXPANDS_TO_TYPE_PARAMETER: needs evaluation
CompileTimeErrorCode.MIXIN_ON_TYPE_ALIAS_EXPANDS_TO_TYPE_PARAMETER: needs evaluation
CompileTimeErrorCode.MIXIN_SUPER_CLASS_CONSTRAINT_DEFERRED_CLASS: needs evaluation
CompileTimeErrorCode.MIXIN_SUPER_CLASS_CONSTRAINT_DISALLOWED_CLASS: needs evaluation
CompileTimeErrorCode.MIXIN_SUPER_CLASS_CONSTRAINT_NON_INTERFACE: needs evaluation
CompileTimeErrorCode.MIXIN_WITH_NON_CLASS_SUPERCLASS: needs evaluation
CompileTimeErrorCode.MIXINS_SUPER_CLASS: needs evaluation
CompileTimeErrorCode.MULTIPLE_REDIRECTING_CONSTRUCTOR_INVOCATIONS: needs evaluation
CompileTimeErrorCode.MULTIPLE_SUPER_INITIALIZERS: needs evaluation
CompileTimeErrorCode.NEW_WITH_NON_TYPE: has fix(es)
CompileTimeErrorCode.NEW_WITH_UNDEFINED_CONSTRUCTOR: has fix(es)
CompileTimeErrorCode.NEW_WITH_UNDEFINED_CONSTRUCTOR_DEFAULT: has fix(es)
CompileTimeErrorCode.NO_ANNOTATION_CONSTRUCTOR_ARGUMENTS: needs evaluation
CompileTimeErrorCode.NO_COMBINED_SUPER_SIGNATURE: needs evaluation
CompileTimeErrorCode.NO_DEFAULT_SUPER_CONSTRUCTOR_EXPLICIT: has fix(es)
CompileTimeErrorCode.NO_DEFAULT_SUPER_CONSTRUCTOR_IMPLICIT: has fix(es)
CompileTimeErrorCode.NO_GENERATIVE_CONSTRUCTORS_IN_SUPERCLASS: needs evaluation
CompileTimeErrorCode.NON_ABSTRACT_CLASS_INHERITS_ABSTRACT_MEMBER_FIVE_PLUS: has fix(es)
CompileTimeErrorCode.NON_ABSTRACT_CLASS_INHERITS_ABSTRACT_MEMBER_FOUR: has fix(es)
CompileTimeErrorCode.NON_ABSTRACT_CLASS_INHERITS_ABSTRACT_MEMBER_ONE: has fix(es)
CompileTimeErrorCode.NON_ABSTRACT_CLASS_INHERITS_ABSTRACT_MEMBER_THREE: has fix(es)
CompileTimeErrorCode.NON_ABSTRACT_CLASS_INHERITS_ABSTRACT_MEMBER_TWO: has fix(es)
CompileTimeErrorCode.NON_BOOL_CONDITION: has fix(es)
CompileTimeErrorCode.NON_BOOL_EXPRESSION: needs evaluation
CompileTimeErrorCode.NON_BOOL_NEGATION_EXPRESSION: needs evaluation
CompileTimeErrorCode.NON_BOOL_OPERAND: needs evaluation
CompileTimeErrorCode.NON_CONST_MAP_AS_EXPRESSION_STATEMENT: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_ANNOTATION_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_CASE_EXPRESSION: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_CASE_EXPRESSION_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_DEFAULT_VALUE: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_DEFAULT_VALUE_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_LIST_ELEMENT: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_LIST_ELEMENT_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_MAP_ELEMENT: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_MAP_KEY: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_MAP_KEY_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_MAP_VALUE: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_MAP_VALUE_FROM_DEFERRED_LIBRARY: needs evaluation
CompileTimeErrorCode.NON_CONSTANT_SET_ELEMENT: needs evaluation
CompileTimeErrorCode.NON_GENERATIVE_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.NON_GENERATIVE_IMPLICIT_CONSTRUCTOR: needs evaluation
CompileTimeErrorCode.NON_SYNC_FACTORY: needs evaluation
CompileTimeErrorCode.NON_TYPE_AS_TYPE_ARGUMENT: has fix(es)
CompileTimeErrorCode.NON_TYPE_IN_CATCH_CLAUSE: has fix(es)
CompileTimeErrorCode.NON_VOID_RETURN_FOR_OPERATOR: needs evaluation
CompileTimeErrorCode.NON_VOID_RETURN_FOR_SETTER: needs evaluation
CompileTimeErrorCode.NOT_A_TYPE: has fix(es)
